Label,mean,std,min,max,median,Q1,Q3,IQR,Skewness,Fitur
Bona Fide,-54.05437469482422,5.0610551834106445,-70.12281799316406,-39.49762725830078,-54.03367614746094,-57.74830436706543,-50.36439800262451,7.383906364440918,0.028508059680461884,CQT_dB_Mean
Spoof,-47.68268966674805,4.375866413116455,-62.15817642211914,-33.49556350708008,-47.5649299621582,-50.71997261047363,-44.54315662384033,6.176815986633301,-0.05889897421002388,CQT_dB_Mean
Bona Fide,3280.3009019817678,389.39689743138797,2207.442139902567,4589.932265008155,3267.3851027058718,3024.2142733073774,3513.811427294061,489.5971539866837,0.32437610721103255,Centroid_Hz
Spoof,3194.6689255421106,390.42107352816896,1967.5862131215586,4631.028231932543,3171.759011099678,2926.479763725892,3415.2449807114854,488.76521698559327,0.3602373345027994,Centroid_Hz
Bona Fide,14.85068,2.8399502411740754,10.0,19.99,14.975000000000001,12.4125,17.130000000000003,4.717500000000003,0.000999297948384852,Duration
Spoof,11.66592,2.7941662950097186,5.088,22.496,11.472,9.66,13.448,3.7880000000000003,0.5623730655895343,Duration
Bona Fide,550.2703866865841,631.6499170765641,0.0,2060.06146284729,274.77985173257264,169.8390655042333,548.7061513094627,378.8670858052294,1.3788980609001027,F0_mean
Spoof,265.78364284834163,382.5106695858631,0.0,2060.1641172695336,205.7186707815163,133.93594307286577,273.54876330443767,139.6128202315719,3.7646705093148465,F0_mean
Bona Fide,-3.470610987462765,0.23529399473868357,-4.124031842550336,-2.5573884987804862,-3.4795324756432677,-3.6420792934065256,-3.3134780150684096,0.32860127833811603,0.120188532517342,LFCC_Mean
Spoof,-3.386833747450085,0.2068730358253997,-3.9174282131398885,-2.774615339857843,-3.3934622613246406,-3.5400054508010963,-3.233548214316464,0.3064572364846323,0.06993717659611326,LFCC_Mean
Bona Fide,0.01385694369673729,0.007120069116353989,0.004278501961380243,0.06362008303403854,0.012010980397462845,0.009462779853492975,0.016242926008999348,0.0067801461555063725,2.744013547897339,RMS_Mean
Spoof,0.011001253500580788,0.005931710358709097,0.0035098192747682333,0.08537695556879044,0.009601250290870667,0.007622876786626875,0.01267791772261262,0.005055040935985744,5.416836738586426,RMS_Mean
Bona Fide,5256.629491392249,554.1788444118683,3517.5210160818715,6832.208806818182,5284.726363708651,4847.691352665078,5611.842932928638,764.1515802635604,0.025186019963258612,Rolloff_Hz
Spoof,5193.208522667814,567.7556676326467,3373.8199869791665,6913.057742782153,5171.060817215011,4816.214804140512,5530.366496296672,714.1516921561606,0.11014529209613834,Rolloff_Hz
Bona Fide,0.339829436763363,0.05644713244127962,0.20819679164487448,0.5381824064399696,0.33404254715647286,0.29961095188195785,0.37594261913042276,0.07633166724846491,0.5442656299580119,ZCR_Mean
Spoof,0.33888212037785487,0.05633340394922556,0.16962217133620688,0.5544196501804461,0.3352829676636292,0.30010064816942406,0.3715203912453987,0.07141974307597465,0.6846036948022117,ZCR_Mean
